id,name,lat,lon,all_sz
0406810,Queen Creek Unified District,33.287,-111.626,594.0
0406850,Ray Unified District,32.929,-110.606,39.0
0406870,Red Mesa Unified District,36.732,-109.474,62.0
0406900,Red Rock Elementary District,32.55,-111.222,32.0
0406960,San Carlos Unified District,33.547,-110.519,106.0
0407020,Riverside Elementary District,33.43,-112.165,89.0
0407080,Roosevelt Elementary District,33.383,-112.077,1475.0
0407130,Round Valley Unified District,34.147,-109.288,99.0
0407170,Saddle Mountain Unified School District,33.508,-112.889,111.0
0407200,Sacaton Elementary District,33.123,-111.87,50.0
0407240,Safford Unified District,33.156,-109.725,239.0
0407300,Sahuarita Unified District,31.624,-111.3,433.0
0407380,San Fernando Elementary District,31.643,-111.527,3.0
0407430,San Simon Unified District,32.286,-109.188,9.0
0407500,Santa Cruz Elementary District,31.408,-110.821,23.0
0407520,Santa Cruz Valley Unified District,31.626,-111.063,273.0
0407570,Scottsdale Unified District,33.536,-111.943,2085.0
0407630,Seligman Unified District,35.198,-113.11,12.0
0407680,Sentinel Elementary District,33.05,-113.18,4.0
0407700,Show Low Unified District,34.297,-110.1,219.0
0407750,Deer Valley Unified District,33.833,-112.13,3226.0
0407770,Skull Valley Elementary District,34.592,-112.733,3.0
0407820,Snowflake Unified District,34.513,-110.109,197.0
0407860,Solomon Elementary District,32.646,-109.446,18.0
0407890,Somerton Elementary District,32.514,-114.679,301.0
0407920,Sonoita Elementary District,31.643,-110.544,14.0
0408020,St David Unified District,31.86,-110.271,33.0
0408080,St Johns Unified District,34.658,-109.295,63.0
0408130,Stanfield Elementary District,32.663,-112.047,66.0
0408170,Sunnyside Unified District,32.107,-110.915,1503.0
0408230,Superior Unified School District,33.35,-111.109,32.0
0408280,Tanque Verde Unified District,32.275,-110.709,193.0
0408310,Tempe School District,33.405,-111.934,1373.0
0408410,Thatcher Unified District,32.764,-109.769,116.0
0408430,Paloma School District,32.941,-112.905,8.0
0408460,Hillside Elementary District,34.445,-112.901,4.0
0408490,Tolleson Elementary District,33.454,-112.257,304.0
0408550,Toltec School District,32.769,-111.634,129.0
0408600,Tombstone Unified District,31.687,-109.978,59.0
0408640,Topock Elementary District,34.707,-114.272,14.0
0408680,Tuba City Unified School District #15,36.083,-111.129,111.0
0408800,Tucson Unified District,32.228,-110.838,4604.0
0408820,Union Elementary District,33.329,-112.268,298.0
0408850,Vail Unified District,32.025,-110.721,876.0
0408880,Valentine Elementary District,35.415,-113.624,7.0
0409060,Washington Elementary School District,33.593,-112.112,2682.0
0409090,Wellton Elementary District,32.696,-114.157,34.0
0409120,Wenden Elementary District,33.957,-113.501,9.0
0409160,Whiteriver Unified District,34.146,-110.466,149.0
0409190,Wickenburg Unified District,33.819,-112.956,93.0
0409250,Willcox Unified District,32.286,-109.905,87.0
0409310,Williams Unified District,35.636,-112.619,50.0
0409390,Wilson Elementary District,33.435,-112.026,126.0
0409430,Window Rock Unified District,35.564,-109.171,180.0
0409460,Winslow Unified District,35.326,-110.594,158.0
0409510,Yarnell Elementary District,34.283,-112.744,5.0
0409540,Young Elementary District,34.099,-110.947,4.0
0409570,Yucca Elementary District,34.702,-113.977,4.0
0409600,Yuma Elementary District,32.36,-113.57,1163.0
0409733,Sedona-Oak Creek Jusd #9,34.88,-111.83,97.0
0500001,Dewitt School District,34.254,-91.292,104.0
0500006,Warren School District,33.617,-92.074,122.0
0500009,Corning School District,36.381,-90.57,75.0
0500012,Riverside School District,35.76,-90.399,62.0
0500015,Sheridan School District,34.287,-92.389,327.0
0500016,Marmaduke School District,36.189,-90.396,56.0
0500017,Paragould School District,36.118,-90.504,230.0
0500019,Batesville School District,35.814,-91.758,226.0
0500020,Midland School District,35.568,-91.66,40.0
0500021,Izard Co. Cons. School Dist.,36.183,-91.884,38.0
0500023,Newport School District,35.495,-91.152,100.0
0500026,Pine Bluff School District,34.169,-91.931,363.0
0500028,Star City School District,33.96,-91.862,126.0
0500029,Gosnell School District,35.885,-90.063,107.0
0500030,Nevada School District,33.591,-93.322,32.0
0500032,Bearden School District,33.753,-92.564,42.0
0500035,Ark. School For The Blind,,,
0500036,Ark. School For The Deaf,,,8.0
0500041,Western Yell Co. School Dist.,35.092,-93.508,34.0
0500042,Hamburg School District,33.17,-91.678,152.0
0500043,Mountain Home School District,36.39,-92.358,304.0
0500044,Magnolia School District,33.25,-93.297,209.0
0500045,Rivercrest School District #57,35.532,-90.192,101.0
0500046,Manila School District,35.818,-90.189,79.0
0500047,Trumann School District,35.638,-90.54,120.0
0500048,East Poinsett Co. School Dist.,35.634,-90.352,55.0
0500049,Dequeen School District,34.088,-94.364,187.0
0500051,Palestine-Wheatley Sch. Dist.,34.982,-90.974,51.0
0500065,Lafayette County School District,33.349,-93.601,55.0
0500067,Cleveland County School Dist.,33.835,-92.208,68.0
0500068,Emerson-Taylor School District,33.081,-93.193,77.0
0500070,Cedar Ridge School District,35.607,-91.447,63.0
0500071,Hillcrest School District,36.019,-91.273,32.0
0500072,Deer/Mt. Judea School District,35.837,-93.079,27.0
0500073,Ouachita River School District,34.645,-93.814,55.0
0500076,Ozark Mountain School District,36.065,-92.805,49.0
0500077,Twin Rivers School District,,,25.0
0500079,Two Rivers School District,34.879,-93.418,63.0
0500082,Lawrence County School District,36.094,-90.877,82.0
0500405,Cossatot River School District,34.325,-94.346,85.0
0502250,Alma School District,35.51,-94.194,258.0
0502280,Alpena School District,36.169,-93.347,42.0
0502430,Arkadelphia School District,34.064,-93.046,147.0
0502550,Armorel School District,35.945,-89.749,35.0
0502580,Ashdown School District,33.685,-94.121,112.0
0502610,Atkins School District,35.239,-92.919,76.0
0502670,Augusta School District,35.083,-91.272,33.0
0502700,Bald Knob School District,35.309,-91.52,101.0
0502730,Barton-Lexa School District,34.449,-90.786,61.0
0502790,Bauxite School District,34.508,-92.493,119.0
0502820,Bay School District,35.745,-90.533,44.0
0502880,Beebe School District,35.12,-91.863,249.0
0502960,Benton School District,34.586,-92.624,369.0
0503030,Pea Ridge School District,36.459,-94.128,139.0
0503060,Bentonville School District,36.4,-94.232,1163.0
0503090,Bergman School District,36.325,-93.038,85.0
0503150,Berryville School District,36.412,-93.569,152.0
0503240,Bismarck School District,34.319,-93.132,77.0
0503300,Blevins School District,33.859,-93.551,41.0
0503320,Blytheville School District,35.879,-89.9,221.0
0503420,Lead Hill School District,36.411,-92.896,26.0
0503450,Booneville School District,35.122,-93.954,101.0
0503480,Bradford School District,35.459,-91.458,36.0
0503630,Brinkley School District,34.884,-91.227,44.0
0503640,Brookland School District,35.913,-90.493,145.0
0503690,Bryant School District,34.769,-92.805,649.0
0503710,Buffalo Is. Central Sch. Dist.,35.918,-90.313,64.0
0503750,Cabot School District,34.963,-91.985,787.0
0503770,Caddo Hills School District,34.437,-93.778,45.0
0503840,Calico Rock School District,36.1,-92.117,32.0
0503960,Carlisle School District,34.86,-91.758,54.0
0504020,Westside Cons. School District,35.862,-90.952,131.0
0504050,Cave City School District,35.939,-91.583,100.0
0504080,Cedarville School District,35.671,-94.391,67.0
0504110,Genoa Central School District,33.378,-93.903,80.0
0504170,White Co. Central School Dist.,35.412,-91.668,53.0
0504200,Charleston School District,35.307,-94.04,66.0
0504350,Clarendon School District,34.592,-91.167,40.0
0504370,Rector School District,36.282,-90.259,46.0
0504380,Clarksville School District,35.514,-93.486,202.0
0504410,Clinton School District,35.601,-92.549,101.0
0504560,Concord School District,35.645,-91.943,36.0
0504590,Conway School District,35.064,-92.433,723.0
0504680,Cotter School District,36.323,-92.502,51.0
0504740,County Line School District,35.313,-93.894,34.0
0504800,Crossett School District,33.109,-92.015,139.0
0504830,Cushman School District,,,16.0
0504860,Cutter-Morning Star Sch. Dist.,34.522,-92.977,47.0
0504890,Danville School District,35.09,-93.35,67.0
0504930,Dardanelle School District,35.199,-93.234,154.0
0504980,Decatur School District,36.348,-94.504,39.0
0505170,Dermott School District,33.483,-91.496,31.0
0505190,Des Arc School District,34.962,-91.501,42.0
0505340,Dierks School District,34.139,-94.042,41.0
0505410,Dollarway School District,34.392,-91.97,108.0
0505430,Dover School District,35.432,-93.162,109.0
0505470,Drew Central School District,33.49,-91.822,75.0
0505500,Dumas School District,33.926,-91.52,113.0
0505550,Earle School District,35.383,-90.453,50.0
0505580,East End School District,35.015,-92.659,46.0
0505680,El Dorado School District,33.216,-92.586,345.0
0505760,Elkins School District,35.964,-94.001,90.0
0505850,England School District,34.557,-91.96,56.0
0505970,Eureka Springs School District,36.4,-93.772,46.0
0506060,Camden Fairview School Dist.,33.677,-92.989,182.0
0506090,Farmington School District,36.062,-94.285,177.0
0506120,Fayetteville School District,36.07,-94.122,702.0
0506150,Flippin School District,36.314,-92.625,61.0
0506210,Fordyce School District,33.93,-92.612,67.0
0506240,Foreman School District,33.696,-94.407,41.0
0506270,Forrest City School District,35.027,-90.761,231.0
0506330,Fort Smith School District,35.362,-94.386,1065.0
0506360,Fouke School District,33.144,-93.948,80.0
0506420,Fountain Lake School District,34.616,-92.938,97.0
0506540,Gentry School District,36.255,-94.449,112.0
0506630,Glen Rose School District,34.445,-92.709,74.0
0506690,Centerpoint School District,34.205,-93.367,76.0
0506840,Gravette School District,36.432,-94.423,142.0
0506870,Green Forest School District,36.426,-93.386,95.0
0506900,Greenbrier School District,35.225,-92.437,253.0
0506930,Greenland School District,35.814,-94.101,64.0
0506990,Greenwood School District,35.216,-94.2,277.0
0507110,Gurdon School District,33.923,-93.208,57.0
0507140,Guy-Perkins School District,35.316,-92.324,32.0
0507170,Hackett School District,35.188,-94.404,73.0
0507230,Hampton School District,33.494,-92.474,42.0
0507290,Harmony Grove School District,33.898,-92.793,77.0
